"movie_title","color","director_name","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_2_name","actor_1_facebook_likes","gross","actor_1_name","num_voted_users","cast_total_facebook_likes","actor_3_name","facenumber_in_poster","movie_imdb_link","num_user_for_reviews","language","country","content_rating","budget","title_year","actor_2_facebook_likes","aspect_ratio","movie_facebook_likes","imdb_score"
"Stepmom ","Color","Chris Columbus","65","124","0","701","Liam Aiken","8000","91030827","Julia Roberts","46482","9988","Herbert Russell","2","http://www.imdb.com/title/tt0120686/?ref_=fn_tt_tt_1","252","English","USA","PG-13","50000000","1998","818","2.35","0","6.7"
"Desperado ","Color","Robert Rodriguez","93","104","0","4000","Steve Buscemi","16000","25625110","Quentin Tarantino","138707","33758","Salma Hayek","0","http://www.imdb.com/title/tt0112851/?ref_=fn_tt_tt_1","202","English","USA","R","7000000","1995","12000","1.85","0","7.2"
"Catwoman ","Color","Pitof","212","87","26","566","Christopher Heyerdahl","827","40198710","Frances Conroy","87451","3144","Alex Borstein","0","http://www.imdb.com/title/tt0327554/?ref_=fn_tt_tt_1","660","English","USA","PG-13","100000000","2004","825","2.35","0","3.3"
"The Amityville Horror ","Color","Andrew Douglas","220","90","15","16000","Chloë Grace Moretz","87000","64255243","Jimmy Bennett","80903","120797","Ryan Reynolds","0","http://www.imdb.com/title/tt0384806/?ref_=fn_tt_tt_1","518","English","USA","R","19000000","2005","17000","2.35","0","6"
"Veronica Guerin ","Color","Joel Schumacher","106","98","541","71","David Murray","214","1569918","Brenda Fricker","16234","409","Gerard McSorley","1","http://www.imdb.com/title/tt0312549/?ref_=fn_tt_tt_1","113","English","Ireland","R","17000000","2003","96","2.35","0","6.9"
"The Outsiders ","Color","Francis Ford Coppola","60","114","0","699","William Smith","10000","25600000","Tom Cruise","57363","12097","Tom Waits","0","http://www.imdb.com/title/tt0086066/?ref_=fn_tt_tt_1","308","English","USA","PG-13","10000000","1983","919","2.35","10000","7.2"
"They Will Have to Kill Us First ","Color","Johanna Schwartz","22","105","0","0","Garba Touré","0",,"Aliou Touré","74","0","Khaira Arby","3","http://www.imdb.com/title/tt4333662/?ref_=fn_tt_tt_1","2","French","UK",,"400000","2015","0",,"34","7.7"
"The Mothman Prophecies ","Color","Mark Pellington","166","119","89","395","Will Patton","650","35228696","Debra Messing","63677","1651","David Eigenberg","0","http://www.imdb.com/title/tt0265349/?ref_=fn_tt_tt_1","460","English","USA","PG-13","32000000","2002","537","2.35","0","6.5"
"BloodRayne ","Color","Uwe Boll","143","92","892","492","Udo Kier","783","1550000","Meat Loaf","30628","2930","Michael Paré","2","http://www.imdb.com/title/tt0383222/?ref_=fn_tt_tt_1","471","English","USA","R","25000000","2005","595","2.35","937","2.9"
"Cruel Intentions ","Color","Roger Kumble","101","97","16","637","Sean Patrick Thomas","4000","38201895","Sarah Michelle Gellar","149222","6223","Eric Mabius","3","http://www.imdb.com/title/tt0139134/?ref_=fn_tt_tt_1","749","English","USA","R","10500000","1999","656","1.85","0","6.9"
"The Blue Bird "," Black and White","Walter Lang","7","83","9","51","Nigel Bruce","94",,"Spring Byington","1047","293","Gale Sondergaard","1","http://www.imdb.com/title/tt0032264/?ref_=fn_tt_tt_1","25","English","USA","Approved",,"1940","62","1.37","548","6.5"
"The Grace Card ","Color","David G. Evans","25","101","0","16","Chris Thomas","77000","2428241","Michael Joiner","2099","77046","Michael Higgenbottom","7","http://www.imdb.com/title/tt1544600/?ref_=fn_tt_tt_1","26","English","USA","PG-13","200000","2010","21",,"0","6.4"
"The Inbetweeners             ","Color",,"15","25",,"220","Belinda Stewart-Wilson","229",,"Simon Bird","55987","1239","James Buckley","0","http://www.imdb.com/title/tt1220617/?ref_=fn_tt_tt_1","42","English","UK","TV-14",,,"223","16","0","8.4"
"War Horse "," Black and White","Steven Spielberg","388","146","14000","979","Benedict Cumberbatch","25000","79883359","Jeremy Irvine","116159","46726","Eddie Marsan","1","http://www.imdb.com/title/tt1568911/?ref_=fn_tt_tt_1","488","English","USA","PG-13","66000000","2011","19000","2.35","28000","7.2"
"The Life of David Gale ","Color","Alan Parker","141","130","317","256","Kate Winslet","18000","19593740","Kevin Spacey","88270","32637","Matt Craven","0","http://www.imdb.com/title/tt0289992/?ref_=fn_tt_tt_1","420","English","USA","R","50000000","2003","14000","2.35","0","7.5"
"Rounders ","Color","John Dahl","128","121","131","599","Martin Landau","13000","22905674","Matt Damon","121676","14890","Gretchen Mol","2","http://www.imdb.com/title/tt0128442/?ref_=fn_tt_tt_1","290","English","USA","R","12000000","1998","940","2.35","0","7.4"
"American History X "," Black and White","Tony Kaye","162","101","194","602","Beverly D'Angelo","1000","6712241","Ethan Suplee","782437","3858","Stacy Keach","2","http://www.imdb.com/title/tt0120586/?ref_=fn_tt_tt_1","1420","English","USA","R","7500000","1998","816","1.85","35000","8.6"
"Hot Pursuit ","Color","Anne Fletcher","155","87","98","253","Richard T. Jones","472","34507079","Jim Gaffigan","34948","1679","Michael Mosley","2","http://www.imdb.com/title/tt2967224/?ref_=fn_tt_tt_1","118","English","USA","PG-13","35000000","2015","328","2.35","0","5.1"
"The Last Exorcism ","Color","Daniel Stamm","311","87","13","308","Ashley Bell","463","40990055","Caleb Landry Jones","41509","1958","Patrick Fabian","0","http://www.imdb.com/title/tt1320244/?ref_=fn_tt_tt_1","300","English","France","PG-13","1800000","2010","400","1.85","0","5.6"
"Saving Private Ryan ","Color","Steven Spielberg","219","169","14000","13000","Vin Diesel","15000","216119491","Tom Hanks","881236","44998","Matt Damon","2","http://www.imdb.com/title/tt0120815/?ref_=fn_tt_tt_1","2277","English","USA","R","70000000","1998","14000","1.85","22000","8.6"
"Days of Thunder ","Color","Tony Scott","60","107","12000","695","Robert Duvall","10000","82670733","Tom Cruise","60476","14006","Randy Quaid","0","http://www.imdb.com/title/tt0099371/?ref_=fn_tt_tt_1","97","English","USA","PG-13","60000000","1990","3000","2.35","0","5.9"
"Diary of a Mad Black Woman ","Color","Darren Grant","62","116","0","476","Kimberly Elise","907","50382128","Cicely Tyson","10472","2723","Tamara Taylor","0","http://www.imdb.com/title/tt0422093/?ref_=fn_tt_tt_1","202","English","USA","PG-13","5500000","2005","637","1.85","0","5.6"
"Final Destination 3 ","Color","James Wong","216","86","70","318","Gina Holden","440","54098051","Chelan Simmons","102861","2420","Crystal Lowe","0","http://www.imdb.com/title/tt0414982/?ref_=fn_tt_tt_1","571","English","Germany","R","25000000","2006","346","2.35","0","5.8"
"The Corruptor ","Color","James Foley","91","110","164","45","Paul Ben-Victor","258","15156200","Byron Mann","15358","571","Kim Chan","2","http://www.imdb.com/title/tt0142192/?ref_=fn_tt_tt_1","131","English","USA","R","30000000","1999","218","2.35","328","6"
"The International ","Color","Tom Tykwer","245","118","670","294","Brían F. O'Byrne","6000","25450527","Naomi Watts","80196","7654","Armin Mueller-Stahl","0","http://www.imdb.com/title/tt0963178/?ref_=fn_tt_tt_1","190","English","USA","R","50000000","2009","450","2.35","0","6.5"
"Bring It On ","Color","Peyton Reed","139","98","235","229","Lindsay Sloane","4000","68353550","Kirsten Dunst","70141","5270","Clare Kramer","1","http://www.imdb.com/title/tt0204946/?ref_=fn_tt_tt_1","385","English","USA","PG-13","10000000","2000","464","1.85","0","5.9"
"American Hero ","Color","Nick Love","16","86","63","175","Christopher Berry","489",,"Eddie Griffin","2706","1278","Michelle Tabora","2","http://www.imdb.com/title/tt4733536/?ref_=fn_tt_tt_1","23","English","USA",,"990000","2015","207",,"549","4.9"
"Youth in Revolt ","Color","Miguel Arteta","192","90","44","729","Ari Graynor","12000","15281286","Steve Buscemi","64646","16004","Fred Willard","2","http://www.imdb.com/title/tt0403702/?ref_=fn_tt_tt_1","105","English","USA","R","18000000","2009","904","1.85","0","6.5"
"After the Sunset ","Color","Brett Ratner","117","97","420","455","Don Cheadle","4000","28328132","Salma Hayek","38298","9814","Chris Penn","2","http://www.imdb.com/title/tt0367479/?ref_=fn_tt_tt_1","147","English","USA","PG-13","58000000","2004","3000","2.35","782","6.3"
"Imagine That ","Color","Karey Kirkpatrick","93","107","11","506","Ronny Cox","939","16088610","Stephen Root","10417","3742","Richard Schiff","2","http://www.imdb.com/title/tt0780567/?ref_=fn_tt_tt_1","39","English","USA","PG","55000000","2009","605","2.35","610","5.6"
"Scary Movie 2 ","Color","Keenen Ivory Wayans","127","83","322","179","Veronica Cartwright","1000","71277420","Natasha Lyonne","119590","1645","Andy Richter","7","http://www.imdb.com/title/tt0257106/?ref_=fn_tt_tt_1","548","English","USA","R","45000000","2001","422","1.85","0","5.2"
"Beauty Shop ","Color","Bille Woodruff","72","105","23","485","Keshia Knight Pulliam","1000","36310118","Alfre Woodard","13194","3535","LisaRaye McCoy","1","http://www.imdb.com/title/tt0388500/?ref_=fn_tt_tt_1","59","English","USA","PG-13",,"2005","619","2.35","671","5.5"
"Underworld: Evolution ","Color","Len Wiseman","206","102","235","520","Tony Curran","956","62318875","Sophia Myles","156225","2998","Derek Jacobi","1","http://www.imdb.com/title/tt0401855/?ref_=fn_tt_tt_1","502","English","USA","R","50000000","2006","845","2.35","0","6.8"
"I Origins ","Color","Mike Cahill","140","106","135","11","Cara Seymour","7000","334658","Steven Yeun","75633","7098","Venida Evans","0","http://www.imdb.com/title/tt2884206/?ref_=fn_tt_tt_1","160","English","USA","R",,"2014","71","2.39","32000","7.3"
"Easy Virtue ","Color","Stephan Elliott","135","97","11","548","Kristin Scott Thomas","14000","2656324","Colin Firth","16444","16431","Kris Marshall","4","http://www.imdb.com/title/tt0808244/?ref_=fn_tt_tt_1","79","English","UK","PG-13",,"2008","1000","2.35","2000","6.7"
"Lucky Number Slevin ","Color","Paul McGuigan","202","110","118","1000","Morgan Freeman","13000","22494487","Bruce Willis","262160","26451","Dorian Missick","3","http://www.imdb.com/title/tt0425210/?ref_=fn_tt_tt_1","507","English","Germany","R","27000000","2006","11000","2.35","10000","7.8"
"Tiger Orange ","Color","Wade Gasque","13","75","0","46","Vincent Duvall","267",,"Ty Parker","683","488","Loanne Bishop","2","http://www.imdb.com/title/tt2866824/?ref_=fn_tt_tt_1","8","English","USA","Unrated","100000","2014","87","1.78","182","6.8"
"Bend It Like Beckham ","Color","Gurinder Chadha","161","112","98","397","Parminder Nagra","883","32541719","Archie Panjabi","89806","2201","Anupam Kher","0","http://www.imdb.com/title/tt0286499/?ref_=fn_tt_tt_1","438","English","UK","PG-13","3500159","2002","528","1.85","0","6.7"
"Insomnia Manica ","Color","Daston Kalili",,"127","2","0","Rai Alexandra","2",,"Daston Kalili","16","2","Chin-Chien Chang","0","http://www.imdb.com/title/tt0455556/?ref_=fn_tt_tt_1","3","English","USA",,"500000","2005","0","1.33","0","5.8"
"Maria Full of Grace ","Color","Joshua Marston","155","101","13","6","Wilson Guerrero","280","6517198","Catalina Sandino Moreno","30474","308","Yenny Paola Vega","0","http://www.imdb.com/title/tt0390221/?ref_=fn_tt_tt_1","172","Spanish","Colombia","R","3000000","2004","11","1.85","0","7.5"
"Beasts of the Southern Wild ","Color","Benh Zeitlin","663","93","188","168","Gina Montana","2000","12784397","Quvenzhané Wallis","70336","2658","Dwight Henry","0","http://www.imdb.com/title/tt2125435/?ref_=fn_tt_tt_1","269","English","USA","PG-13","1800000","2012","458","1.85","31000","7.3"
"The Shining ","Color","Stanley Kubrick","253","146","0","413","Shelley Duvall","888",,"Scatman Crothers","610333","2560","Joe Turkel","0","http://www.imdb.com/title/tt0081505/?ref_=fn_tt_tt_1","1320","English","USA","R","19000000","1980","629","1.37","37000","8.4"
"Extreme Movie ","Color","Adam Jay Epstein","14","76","0","227","Denise Boutte","387",,"Rich Ceraulo","9560","1190","Vanessa Lee Chester","6","http://www.imdb.com/title/tt0806147/?ref_=fn_tt_tt_1","35","English","USA","R",,"2008","295","1.85","636","3.8"
"The Piano ","Color","Jane Campion","83","121","319","11","Ian Mune","1000","40158000","Holly Hunter","63931","1051","Geneviève Lemon","1","http://www.imdb.com/title/tt0107822/?ref_=fn_tt_tt_1","241","English","New Zealand","R","7000000","1993","18","1.85","0","7.6"
"The Polar Express ","Color","Robert Zemeckis","188","100","0","267","Eddie Deezen","15000","665426","Tom Hanks","120798","16264","Peter Scolari","0","http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1","444","English","USA","G","165000000","2004","726","2.35","10000","6.6"
"The Score ","Color","Frank Oz","141","124","0","580","Marlon Brando","22000","71069884","Robert De Niro","101899","32871","Gary Farmer","0","http://www.imdb.com/title/tt0227445/?ref_=fn_tt_tt_1","445","English","USA","R","68000000","2001","10000","2.35","0","6.8"
"Critical Care ","Color","Sidney Lumet","25","107","0","745","Anne Bancroft","941","141853","Kyra Sedgwick","1427","3099","Albert Brooks","2","http://www.imdb.com/title/tt0118901/?ref_=fn_tt_tt_1","12","English","Australia","R","12000000","1997","754","1.85","88","6"
"50/50 ","Color","Jonathan Levine","327","100","129","3000","Anna Kendrick","23000","34963967","Joseph Gordon-Levitt","270441","39807","Bryce Dallas Howard","2","http://www.imdb.com/title/tt1306980/?ref_=fn_tt_tt_1","378","English","USA","R","8000000","2011","10000","1.85","40000","7.7"
"Valley of the Wolves: Iraq ","Color","Serdar Akar","16","122","11","173","Bergüzar Korel","205",,"Necati Sasmaz","14486","808","Ghassan Massoud","3","http://www.imdb.com/title/tt0493264/?ref_=fn_tt_tt_1","159","Arabic","Turkey",,"8300000","2006","197","1.85","467","6"
"Tim and Eric's Billion Dollar Movie ","Color","Tim Heidecker","82","93","78","197","William Atherton","536","200803","Michael Gross","7988","1467","Bob Ross","3","http://www.imdb.com/title/tt1855401/?ref_=fn_tt_tt_1","71","English","USA","R","3000000","2012","317","1.78","0","5.3"
"Firestarter ","Color","Mark L. Lester","45","114","73","563","George C. Scott","695","15100000","Heather Locklear","22797","3444","David Keith","1","http://www.imdb.com/title/tt0087262/?ref_=fn_tt_tt_1","96","English","USA","R","15000000","1984","654","2.35","0","6"
"Pink Narcissus ","Color","James Bidgood","8","65","0",,"Bobby Kendall","0","8231","Don Brooks","803","0",,"1","http://www.imdb.com/title/tt0067580/?ref_=fn_tt_tt_1","16","English","USA","Not Rated","27000","1971","0","1.37","85","6.7"
"The Art of War ","Color","Christian Duguay","110","116","18","249","Cary-Hiroyuki Tagawa","2000","30199105","Michael Biehn","25346","3753","Anne Archer","0","http://www.imdb.com/title/tt0160009/?ref_=fn_tt_tt_1","167","English","USA","R","40000000","2000","1000","2.35","470","5.7"
"The Lion of Judah ","Color","Deryck Broom","7","87","11","397","Omar Benson Miller","578",,"Vic Mignogna","458","1730","Anupam Kher","0","http://www.imdb.com/title/tt1212022/?ref_=fn_tt_tt_1","3","English","USA","PG","15000000","2011","418","1.78","381","3.7"
"Family Plot ","Color","Alfred Hitchcock","67","120","13000","416","Bruce Dern","897",,"Ed Lauter","15293","2811","William Devane","1","http://www.imdb.com/title/tt0074512/?ref_=fn_tt_tt_1","111","English","USA","PG","4490375","1976","844","1.85","609","6.8"
"The Scorch Trials ","Color","Wes Ball","249","132","47","240","Lili Taylor","988","81687587","Ki Hong Lee","138246","2517","Rosa Salazar","0","http://www.imdb.com/title/tt4046784/?ref_=fn_tt_tt_1","360","English","USA","PG-13","61000000","2015","960","2.35","24000","6.4"
"Higher Ground ","Color","Vera Farmiga","68","109","0","186","Bill Irwin","553","841206","Donna Murphy","2603","1439","Michael Chernus","0","http://www.imdb.com/title/tt1562568/?ref_=fn_tt_tt_1","34","English","USA","R",,"2011","471","1.85","952","6.3"
"The Kentucky Fried Movie ","Color","John Landis","82","83","644","11","Barry Dennen","119",,"David Zucker","13915","190","Tara Strohmeier","0","http://www.imdb.com/title/tt0076257/?ref_=fn_tt_tt_1","109","English","USA","R","650000","1977","29","1.85","0","6.5"
"Tales from the Crypt: Demon Knight ","Color","Ernest R. Dickerson","66","92","226","580","Jada Pinkett Smith","1000","21088568","CCH Pounder","16646","3931","Gary Farmer","1","http://www.imdb.com/title/tt0114608/?ref_=fn_tt_tt_1","104","English","USA","R","13000000","1995","851","1.85","0","6.7"
"Planet 51 ","Color","Jorge Blanco","156","91","2","480","Gary Oldman","12000","42194060","Dwayne Johnson","41259","22668","James Corden","1","http://www.imdb.com/title/tt0762125/?ref_=fn_tt_tt_1","72","English","Spain","PG","70000000","2009","10000","2.35","0","6.1"
"The Proposal ","Color","Anne Fletcher","224","108","98","723","Denis O'Hare","16000","163947053","Ryan Reynolds","227824","18656","Craig T. Nelson","1","http://www.imdb.com/title/tt1041829/?ref_=fn_tt_tt_1","273","English","USA","PG-13","40000000","2009","896","2.35","10000","6.7"
"The Angry Birds Movie ","Color","Clay Kaytis","141","97","6","415","Josh Gad","22000","107225164","Peter Dinklage","27130","24350","Keegan-Michael Key","0","http://www.imdb.com/title/tt1985949/?ref_=fn_tt_tt_1","126","English","USA","PG","73000000","2016","1000","1.85","14000","6.3"
"Emma             ","Color",,"10","240",,"334","Blake Ritson","805",,"Romola Garai","10388","2563","Rupert Evans","1","http://www.imdb.com/title/tt1366312/?ref_=fn_tt_tt_1","50","English","UK",,,,"432","1.78","0","8.2"
"Indiana Jones and the Kingdom of the Crystal Skull ","Color","Steven Spielberg","470","122","14000","1000","Ray Winstone","11000","317011114","Harrison Ford","333847","14959","Jim Broadbent","2","http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1","2054","English","USA","PG-13","185000000","2008","1000","2.35","5000","6.2"
"Definitely, Maybe ","Color","Adam Brooks","160","112","20","61","Sakina Jaffrey","16000","31973840","Ryan Reynolds","127760","16289","Paulina Gerzon","5","http://www.imdb.com/title/tt0832266/?ref_=fn_tt_tt_1","168","English","Germany","PG-13",,"2008","109","2.35","0","7.2"
"Inglourious Basterds ","Color","Quentin Tarantino","486","153","16000","11000","Brad Pitt","13000","120523073","Michael Fassbender","885175","36741","Christoph Waltz","1","http://www.imdb.com/title/tt0361748/?ref_=fn_tt_tt_1","1527","English","USA","R","75000000","2009","11000","2.35","42000","8.3"
"Blood Ties ","Color","Guillaume Canet","91","144","0","745","Lili Taylor","15000","41229","Mila Kunis","14612","18442","Billy Crudup","6","http://www.imdb.com/title/tt1747958/?ref_=fn_tt_tt_1","41","English","France","R","25500000","2013","960","2.35","0","6.5"
"Waking Ned Devine ","Color","Kirk Jones","94","91","52","482","David Kelly","773","24788807","James Nesbitt","21245","1965","Fionnula Flanagan","0","http://www.imdb.com/title/tt0166396/?ref_=fn_tt_tt_1","213","English","UK","PG","3000000","1998","588","2.35","0","7.4"
"Robot & Frank ","Color","Jake Schreier","252","89","14","215","Joshua Ormond","902","3325638","Frank Langella","52509","1980","Ana Gasteyer","3","http://www.imdb.com/title/tt1990314/?ref_=fn_tt_tt_1","84","English","USA","PG-13","2500000","2012","291","2.35","13000","7.1"
"Ride Along ","Color","Tim Story","146","99","167","460","Tika Sumpter","655","134141530","Bruce McGill","75903","2394","Bryan Callen","1","http://www.imdb.com/title/tt1408253/?ref_=fn_tt_tt_1","109","English","USA","PG-13","25000000","2014","521","2.35","0","6.2"
"Shadow Conspiracy ","Color","George P. Cosmatos","24","103","170","269","Ben Gazzara","849","2154540","Sam Waterston","3803","2457","Nicholas Turturro","2","http://www.imdb.com/title/tt0120107/?ref_=fn_tt_tt_1","41","English","USA","R","45000000","1997","623","2.35","68","4.9"
"Mary Reilly ","Color","Stephen Frears","46","108","350","77","Bronagh Gallagher","8000","5600000","Julia Roberts","11913","8349","George Cole","1","http://www.imdb.com/title/tt0117002/?ref_=fn_tt_tt_1","97","English","USA","R","47000000","1996","115","1.85","616","5.8"
"Must Love Dogs ","Color","Gary David Goldberg","120","98","30","664","Victor Webster","944","43894863","Stockard Channing","25883","4879","Elizabeth Perkins","2","http://www.imdb.com/title/tt0417001/?ref_=fn_tt_tt_1","262","English","USA","PG-13","30000000","2005","940","2.35","0","5.9"
"Love Jones ","Color","Theodore Witcher","16","104","28","582","Nia Long","962","12514138","Leonard Roberts","2801","3871","Larenz Tate","0","http://www.imdb.com/title/tt0119572/?ref_=fn_tt_tt_1","28","English","USA","R","10000000","1997","826","1.85","1000","7.4"
"Old Dogs ","Color","Walt Becker","124","88","12","931","Bernie Mac","49000","49474048","Robin Williams","31191","53370","Ann-Margret","2","http://www.imdb.com/title/tt0976238/?ref_=fn_tt_tt_1","120","English","USA","PG","35000000","2009","1000","1.85","0","5.4"
"Tuck Everlasting ","Color","Jay Russell","69","90","13","613","Sissy Spacek","882","19158074","William Hurt","17983","2661","Jonathan Jackson","2","http://www.imdb.com/title/tt0283084/?ref_=fn_tt_tt_1","127","English","USA","PG","15000000","2002","874","2.35","0","6.7"
"Lolita "," Black and White","Stanley Kubrick","103","152","0","177","Shelley Winters","618",,"James Mason","67825","1404","Lois Maxwell","0","http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1","207","English","UK","Not Rated","2000000","1962","367","1.66","0","7.7"
"Black Nativity ","Color","Kasi Lemmons","40","93","148","170","Mary J. Blige","549","7017178","Jennifer Hudson","1633","1373","Vondie Curtis-Hall","5","http://www.imdb.com/title/tt1425922/?ref_=fn_tt_tt_1","17","English","USA","PG","17500000","2013","269","2.35","0","4.4"
"TRON: Legacy ","Color","Joseph Kosinski","469","125","364","1000","Olivia Wilde","12000","172051787","Jeff Bridges","264186","25549","James Frain","0","http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1","665","English","USA","PG","170000000","2010","10000","2.35","30000","6.8"
"Entourage             ","Color",,"52","28",,"576","Kevin Connolly","680",,"Debi Mazar","135643","2867","Kevin Dillon","2","http://www.imdb.com/title/tt0387199/?ref_=fn_tt_tt_1","145","English","USA","TV-MA",,,"638","1.78","0","8.5"
"Monty Python and the Holy Grail ","Color","Terry Gilliam","131","91","0","332","Michael Palin","795","1229197","Eric Idle","382240","2158","Terry Jones","0","http://www.imdb.com/title/tt0071853/?ref_=fn_tt_tt_1","660","English","UK","PG","229575","1975","561","1.66","14000","8.3"
"St. Vincent ","Color","Theodore Melfi","275","102","51","360","Naomi Watts","13000","44134898","Bill Murray","72803","20330","Reg E. Cathey","3","http://www.imdb.com/title/tt2170593/?ref_=fn_tt_tt_1","171","English","USA","PG-13","13000000","2014","6000","1.85","33000","7.3"
"Jefferson in Paris ","Color","James Ivory","20","139","133","5","Todd Boyce","423","2474000","Seth Gilliam","2427","446","Nigel Whitmey","1","http://www.imdb.com/title/tt0113463/?ref_=fn_tt_tt_1","27","English","France","PG-13","14000000","1995","15","1.85","127","5.7"
"Poltergeist ","Color","Tobe Hooper","223","120","365","723","Zelda Rubinstein","887","76600000","Heather O'Rourke","105446","3876","Craig T. Nelson","0","http://www.imdb.com/title/tt0084516/?ref_=fn_tt_tt_1","321","English","USA","PG","10700000","1982","770","2.35","11000","7.4"
"Please Give ","Color","Nicole Holofcener","133","90","132","547","Thomas Ian Nicholas","1000","4033268","Oliver Platt","9808","3692","Ann Morgan Guilbert","0","http://www.imdb.com/title/tt0878835/?ref_=fn_tt_tt_1","53","English","USA","R",,"2010","864","2.35","0","6.6"
"Draft Day ","Color","Ivan Reitman","159","110","425","148","Chi McBride","3000","28831145","Jennifer Garner","39357","3757","Patrick St. Esprit","1","http://www.imdb.com/title/tt2223990/?ref_=fn_tt_tt_1","113","English","USA","R","25000000","2014","466","2.35","14000","6.8"
"The French Connection ","Color","William Friedkin","138","104","607","109","Fernando Rey","813",,"Roy Scheider","82476","1196","Tony Lo Bianco","0","http://www.imdb.com/title/tt0067116/?ref_=fn_tt_tt_1","280","English","USA","R","1800000","1971","165","1.85","0","7.8"
"Sleepers "," Black and White","Barry Levinson","73","147","272","893","Brad Pitt","22000","53300852","Robert De Niro","154487","37076","Minnie Driver","3","http://www.imdb.com/title/tt0117665/?ref_=fn_tt_tt_1","259","English","USA","R","44000000","1996","11000","2.35","0","7.5"
"Gracie ","Color","Davis Guggenheim","65","95","49","261","John Doman","702","2955039","Emma Bell","3624","2007","Carly Schroeder","1","http://www.imdb.com/title/tt0441007/?ref_=fn_tt_tt_1","27","English","USA","PG-13","9000000","2007","616","2.35","313","6.2"
"Bodyguards and Assassins ","Color","Teddy Chan","55","139","3","107","Simon Yam","556",,"Bingbing Fan","6263","1059","Nicholas Tse","0","http://www.imdb.com/title/tt1403130/?ref_=fn_tt_tt_1","33","Mandarin","China",,"23000000","2009","155","2.35","765","6.9"
"The Brothers McMullen ","Color","Edward Burns","36","98","0","73","Michael McGlone","138","10246600","Shari Albert","6375","388","Maxine Bahns","0","http://www.imdb.com/title/tt0112585/?ref_=fn_tt_tt_1","36","English","USA","R","25000","1995","111","1.85","265","6.6"
"Gabriela ","Color","Bruno Barreto","1","99","9","3","Sonia Braga","866",,"Marcello Mastroianni","712","1179","Joffre Soares","0","http://www.imdb.com/title/tt0085575/?ref_=fn_tt_tt_1","9","Portuguese","Brazil","R",,"1983","308","2.35","114","6.4"
"Street Kings ","Color","David Ayer","190","109","453","2000","Chris Evans","18000","26415649","Keanu Reeves","94892","33878","Noel Gugliemi","4","http://www.imdb.com/title/tt0421073/?ref_=fn_tt_tt_1","189","English","USA","R","20000000","2008","11000","2.35","0","6.8"
"The Big Hit ","Color","Kirk Wong","57","91","6","459","Elliott Gould","904","27052167","Bokeem Woodbine","24834","3353","Antonio Sabato Jr.","5","http://www.imdb.com/title/tt0120609/?ref_=fn_tt_tt_1","168","English","USA","R","13000000","1998","471","1.85","934","6.1"
"The Twilight Saga: New Moon ","Color","Chris Weitz","299","130","129","12000","Kristen Stewart","21000","296623634","Robert Pattinson","220758","64040","Taylor Lautner","2","http://www.imdb.com/title/tt1259571/?ref_=fn_tt_tt_1","919","English","USA","PG-13","50000000","2009","17000","2.35","13000","4.6"
"Chill Factor ","Color","Hugh Johnson","68","102","3","239","Kevin J. O'Connor","372","11227940","David Paymer","8367","1274","Hudson Leick","0","http://www.imdb.com/title/tt0163579/?ref_=fn_tt_tt_1","94","English","USA","R","34000000","1999","248","2.35","120","5.2"
"Boys and Girls ","Color","Robert Iscove","67","94","7","95","Amanda Detmer","3000","20627372","Alyson Hannigan","13661","3451","Tsianina Joelson","3","http://www.imdb.com/title/tt0204175/?ref_=fn_tt_tt_1","134","English","USA","PG-13","16000000","2000","240","1.85","487","5.3"
"Grown Ups 2 ","Color","Dennis Dugan","139","101","221","11000","Adam Sandler","12000","133668525","Steve Buscemi","107817","39269","Jon Lovitz","4","http://www.imdb.com/title/tt2191701/?ref_=fn_tt_tt_1","255","English","USA","PG-13","80000000","2013","11000","1.85","14000","5.4"
"A Sound of Thunder ","Color","Peter Hyams","113","102","0","212","Catherine McCormack","1000","1891821","David Oyelowo","16474","1890","Jemima Rooper","0","http://www.imdb.com/title/tt0318081/?ref_=fn_tt_tt_1","301","English","UK","PG-13","52000000","2005","307","2.35","785","4.2"
"Wimbledon ","Color","Richard Loncraine","129","98","12","663","Jon Favreau","4000","16831505","Kirsten Dunst","51842","9330","Austin Nichols","1","http://www.imdb.com/title/tt0360201/?ref_=fn_tt_tt_1","173","English","UK","PG-13","31000000","2004","4000","2.35","0","6.3"
"Edmond ","Color","Stuart Gordon","79","82","216","885","Dulé Hill","1000","131617","Joe Mantegna","9971","5761","Jeffrey Combs","1","http://www.imdb.com/title/tt0443496/?ref_=fn_tt_tt_1","119","English","USA","R","10000000","2005","922","1.85","661","6.3"
"Gridiron Gang ","Color","Phil Joanou","85","125","21","581","Jurnee Smollett-Bell","12000","38432823","Dwayne Johnson","33067","15811","Kevin Dunn","1","http://www.imdb.com/title/tt0421206/?ref_=fn_tt_tt_1","134","English","USA","PG-13","30000000","2006","2000","2.35","0","6.9"
